Nome,TipoPosto,Municipio,Preco,Marca,Combustivel,DataAtualizacao,Distrito,Morada,Localidade,CodPostal,Latitude,Longitude,Preco_num
BP Cabaços JMGracio,Outro,Alvaiázere,"2,029 €",BP,Gasolina especial 98,2024-08-05 07:00:00,Leiria,R. Conselheiro José Eduardo Simões,Cabaços,3250-359,39.80565,-8.34787,2.029
CEPSA S. Teotónio,Outro,Odemira,"1,939 €",CEPSA,Gasolina especial 98,2024-09-01 00:00:00,Beja,"Loteamento Industrial da Bemposta, Lote 7",S. Teotónio,7630-614,37.50998,-8.71566,1.939
GABARITO PRINCIPAL LDA,Outro,Mogadouro,"1,999 €",SHELL,Gasolina especial 98,2025-01-06 07:40:00,Bragança,AVENIDA DO SABOR,Mogadouro,5200-204,41.345251,-6.705865,1.999
Vila Franca das Naves,Outro,Trancoso,"1,983 €",CEPSA,Gasolina especial 98,2025-02-03 00:00:00,Guarda,EN 226,Vila Franca das Naves,6420-708,40.725425,-7.264571,1.983
ALFENA,Outro,Valongo,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Porto,Rua 1º de Maio nº 1770,Alfena,4445-245,41.241066,-8.525901,2.099
BP ARRIFANA,Outro,Santa Maria da Feira,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Aveiro,"Rua Terras de Santa Maria\r\n(Antiga Estrada Nacional nº1 - km 276,065)\r\nApartado 1077",Arrifana,3700-908,40.91849,-8.49898,2.099
ALFABRENT Santo Tirso Fontiscos,Outro,Santo Tirso,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Porto,"Rua dos Fontiscos, nr.º 693",Santo Tirso,4780-470,41.3406,-8.49337,2.099
ALFABRENT Guimarães Silvares,Outro,Guimarães,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Braga,R. 25 Abril - Lugar de Carvalhais,Silvares,4835-400,41.442571,-8.333676,2.099
A4 - Vila Real Norte (Lamares),Auto-estrada,Vila Real,"2,109 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Vila Real,"A4, Km 101.450, Lote 2, Lado Norte",Lamares,5000-131,41.32436,-7.64109,2.109
A4 - Vila Real Sul (Lamares),Auto-estrada,Vila Real,"2,109 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Vila Real,"A4, Km 101.45, Lote 2, Lado Sul",Lamares,5000-131,41.3236,-7.64111,2.109
