Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"CEPSA S. Teotónio";"Outro";"Odemira";"1,939 €";"CEPSA";"Gasolina especial 98";"2024-09-01 00:00";"Beja";"Loteamento Industrial da Bemposta, Lote 7";"S. Teotónio";"7630-614";37.50998;-8.71566
"Tavares & Filhos, Lda";"Outro";"Trancoso";"1,983 €";"CEPSA";"Gasolina especial 98";"2025-02-03 00:00";"Guarda";"EN 226";"Vila Franca das Naves";"6420-721";40.725426;-7.264571
"BP vizela Rotunda";"Outro";"Vizela";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 13:25";"Braga";"Rua Guilherme Caldas Peixoto";"Vizela";"4815-435";41.37069;-8.31226
"BP A1 Mealhada (Este)";"Auto-estrada";"Cantanhede";"2,134 €";"BP";"Gasolina especial 98";"2025-02-11 00:00";"Coimbra";"A1 - Km 204 - Enxofães - Murtede";"Cantanhede";"3060-000";40.333233;-8.492696
"TFUEL - BP MELIDES";"Outro";"Grândola";"2,129 €";"BP";"Gasolina especial 98";"2025-02-17 11:00";"Setúbal";"CRUZAMENTO VALE FIGUEIRA";"Melides";"7570-600";38.14144;-8.736047
"Gepoil | PAC Lavra";"Outro";"Matosinhos";"1,999 €";"BP";"Gasolina especial 98";"2025-07-28 11:25";"Porto";"Rua Manuel Francisco Correia";"Lavra";"4455-158";41.24543;-8.72196
"BP CORROIOS";"Outro";"Seixal";"1,999 €";"BP";"Gasolina especial 98";"2025-12-16 00:05";"Setúbal";"EN 10 Km 5,9";"Corroios";"2855-000";38.639392;-9.150164
"BP  Mem Martins";"Outro";"Sintra";"1,999 €";"BP";"Gasolina especial 98";"2026-01-26 22:50";"Lisboa";"Avenida Almirante Gago Coutinho - Parcela B";"Mem Martins";"2725-320";38.799732;-9.356473
"NJBFERREIRA - Comércio de GALP FREIRIA ";"Outro";"Rio Maior";"2,154 €";"GALP";"Gasolina especial 98";"2026-04-21 12:30";"Santarém";"E.N.1 ao Km.73,200 Freiria ";"Freiria";"2040-114";39.34091;-8.949353
"CEPSA SANFINS DO DOURO";"Outro";"Alijó";"2,250 €";"CEPSA";"Gasolina especial 98";"2026-05-18 00:00";"Vila Real";"Estrada Nacional 323-1";"Sanfins do Douro";"5070-351";41.29553;-7.51977
"BP CHÃO DA FEIRA";"Outro";"Porto de Mós";"2,334 €";"BP";"Gasolina especial 98";"2026-05-18 11:50";"Leiria";"EN 1, Km 107,4";"Chão da Feira";"2480-062";39.624098;-8.85721
"FERREIRA &FERREIRA COMBUSTIVEIS LDA - ALVES BANDEIRA";"Outro";"Sever do Vouga";"2,239 €";"ALVES BANDEIRA";"Gasolina especial 98";"2026-05-18 20:15";"Aveiro";"EN 16 (Rua de Vale de Água), nº 3546";"Fontelas do Vouga";"3740-015";40.731186;-8.332094
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"1,909 €";"BP";"Gasóleo simples";"2026-06-22 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"2,029 €";"BP";"Gasóleo especial";"2026-06-22 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"E. LECLERC FEIRA";"Outro";"Santa Maria da Feira";"1,729 €";"LECLERC";"Gasóleo especial";"2026-06-22 20:00";"Aveiro";"Rua 5 de Outubro -Zona Industrial do Cavaco";"Santa Maria da Feira";"4520-162";40.9387;-8.54072
"E. LECLERC FEIRA";"Outro";"Santa Maria da Feira";"1,689 €";"LECLERC";"Gasóleo simples";"2026-06-22 20:00";"Aveiro";"Rua 5 de Outubro -Zona Industrial do Cavaco";"Santa Maria da Feira";"4520-162";40.9387;-8.54072
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"1,999 €";"BP";"Gasolina simples 95";"2026-06-23 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"BP Montijo";"Outro";"Montijo";"2,199 €";"BP";"Gasolina especial 98";"2026-06-23 00:05";"Setúbal";"Rua Corregedor Rodrigues Dias";"Montijo";"2870-000";38.70337;-8.96462
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,766 €";"CEPSA";"Gasóleo simples";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,816 €";"CEPSA";"Gasóleo especial";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,853 €";"CEPSA";"Gasolina simples 95";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"2,065 €";"CEPSA";"Gasolina especial 98";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"GALP  Mirandela";"Outro";"Mirandela";"1,844 €";"GALP";"Gasóleo simples";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"GALP  Mirandela";"Outro";"Mirandela";"1,894 €";"GALP";"Gasóleo especial";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"GALP  Mirandela";"Outro";"Mirandela";"1,929 €";"GALP";"Gasolina simples 95";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,895 €";"Genérico";"Gasolina simples 95";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"Cooperativa Agrícola de Vila do Conde - Posto de Guilhabreu";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"Rua da Agra, 500";"Guilhabreu";"4480-000";41.29269;-8.65524
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,818 €";"Genérico";"Gasóleo especial";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,895 €";"Genérico";"Gasolina simples 95";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,818 €";"Genérico";"Gasóleo especial";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"INTERMARCHÉ DE SÁTÃO";"Outro";"Sátão";"1,689 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 09:15";"Viseu";"Rua Cidade de Lescar";"Sátão";"3560-196";40.745;-7.73626
"INTERMARCHÉ DE SÁTÃO";"Outro";"Sátão";"1,779 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 09:15";"Viseu";"Rua Cidade de Lescar";"Sátão";"3560-196";40.745;-7.73626
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,889 €";"PRIO";"Gasóleo especial";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,899 €";"PRIO";"Gasóleo simples";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,979 €";"PRIO";"Gasolina simples 95";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
"INTERMARCHE VILAR FORMOSO";"Área comercial (Hipermercados)";"Almeida";"1,659 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 10:05";"Guarda";"Sitio da Represa";"Vilar Formoso";"6355-289";40.61817;-6.84339
